Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1442,0.2689,0.0245,0.1364,0.5854,0.0626,0.4586496434,0.0000,0.0000000000,0.0000000000,0.0000,0.1130
MF,10,0.1228,0.2794,0.0096,0.1595,0.5583,0.0594,0.4637661749,0.0000,0.0000000000,0.0000000000,0.0000,0.1073
MF,15,0.1135,0.2989,0.0111,0.3081,0.5125,0.0538,0.4623368607,0.0000,0.0000000000,0.0000000000,0.0000,0.0974
MF,20,0.1079,0.3490,0.0136,0.2310,0.4558,0.0473,0.4653979277,0.0000,0.0000000000,0.0000000000,0.0000,0.0857
MF,25,0.1037,0.3843,0.0114,0.3482,0.4173,0.0426,0.4656780538,0.0000,0.0000000000,0.0000000000,0.0000,0.0773
MF,30,0.1006,0.4326,0.0114,0.4061,0.4151,0.0426,0.4630575205,0.0000,0.0000000000,0.0000000000,0.0000,0.0772
MF,35,0.0980,0.4862,0.0115,0.4899,0.3900,0.0397,0.4633169427,0.0000,0.0000000000,0.0000000000,0.0000,0.0721
MF,40,0.0962,0.5543,0.0084,0.5905,0.4027,0.0411,0.4637821103,0.0000,0.0000000000,0.0000000000,0.0000,0.0746
MF,45,0.0941,0.6287,0.0086,0.7311,0.3794,0.0386,0.4635347174,0.0000,0.0000000000,0.0000000000,0.0000,0.0701
MF,50,0.0926,0.6646,0.0065,0.6731,0.3775,0.0384,0.4608893586,0.0000,0.0000000000,0.0000000000,0.0000,0.0698
