Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2054,0.2943,0.1493,0.2661,0.5457,0.0589,0.4528141774,0.0000,0.0000000000,0.0000000000,0.0000,0.1064
MF,10,0.1959,0.3863,0.1043,0.6187,0.5325,0.0574,0.4535780423,0.0000,0.0000000000,0.0000000000,0.0000,0.1035
MF,15,0.1817,0.4983,0.0864,0.7271,0.5330,0.0575,0.4514700751,0.0000,0.0000000000,0.0000000000,0.0000,0.1037
MF,20,0.1679,0.6124,0.0881,0.9055,0.5111,0.0548,0.4506945882,0.0000,0.0000000000,0.0000000000,0.0000,0.0990
MF,25,0.1564,0.7298,0.0714,1.1680,0.5307,0.0572,0.4502327755,0.0000,0.0000000000,0.0000000000,0.0000,0.1033
MF,30,0.1355,0.8747,0.0314,1.7126,0.5222,0.0558,0.4543070892,0.0000,0.0000000000,0.0000000000,0.0000,0.1008
MF,35,0.1235,1.0139,0.0311,2.4423,0.5189,0.0552,0.4528650506,0.0000,0.0000000000,0.0000000000,0.0000,0.0999
MF,40,0.1077,1.1319,0.0334,2.2593,0.4974,0.0527,0.4517865769,0.0000,0.0000000000,0.0000000000,0.0000,0.0954
MF,45,0.0959,1.2906,0.0327,2.6311,0.4961,0.0527,0.4527101545,0.0000,0.0000000000,0.0000000000,0.0000,0.0952
MF,50,0.0854,1.4270,0.0281,3.1360,0.5017,0.0540,0.4517841327,0.0000,0.0000000000,0.0000000000,0.0000,0.0975
