Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0416,0.3617,0.0021,0.4397,0.7629,0.0837,0.4114575665,0.0000,0.0000000000,0.0000000000,0.0000,0.1509
MF,10,nan,nan,nan,nan,0.6341,0.0681,0.4142125316,0.0000,0.0000000000,0.0000000000,0.0000,0.1230
MF,15,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,20,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,25,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,30,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,35,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,40,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,45,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,50,nan,nan,nan,nan,0.7210,0.0790,0.4145617667,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
