Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2074,0.2876,0.1566,0.3660,0.5301,0.0556,0.4768736581,0.0000,0.0000000000,0.0000000000,0.0000,0.1006
MF,10,0.2023,0.3909,0.1405,0.5381,0.5330,0.0560,0.4752688875,0.0000,0.0000000000,0.0000000000,0.0000,0.1014
MF,15,0.1887,0.5239,0.0814,0.7289,0.5552,0.0591,0.4724946802,0.0000,0.0000000000,0.0000000000,0.0000,0.1068
MF,20,0.1708,0.6850,0.1231,0.7864,0.5244,0.0550,0.4741564345,0.0000,0.0000000000,0.0000000000,0.0000,0.0996
MF,25,0.1485,0.8462,0.0308,1.6363,0.5378,0.0566,0.4715452467,0.0000,0.0000000000,0.0000000000,0.0000,0.1024
MF,30,0.1315,0.9577,0.0595,1.8025,0.5010,0.0520,0.4715920462,0.0000,0.0000000000,0.0000000000,0.0000,0.0943
MF,35,0.1132,1.1512,0.0581,1.6822,0.5225,0.0553,0.4728137700,0.0000,0.0000000000,0.0000000000,0.0000,0.1000
MF,40,0.0937,1.3070,0.0333,2.1190,0.5196,0.0550,0.4721202841,0.0000,0.0000000000,0.0000000000,0.0000,0.0994
MF,45,0.0804,1.5201,0.0390,2.4688,0.5128,0.0540,0.4741169197,0.0000,0.0000000000,0.0000000000,0.0000,0.0977
MF,50,0.0672,1.6783,0.0221,2.6315,0.5191,0.0546,0.4725639090,0.0000,0.0000000000,0.0000000000,0.0000,0.0988
