Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0350,0.4352,0.0004,0.3802,0.7508,0.0843,0.4308306495,0.0000,0.0000000000,0.0000000000,0.0000,0.1517
MF,10,nan,nan,nan,nan,0.5163,0.0545,0.4231418219,0.0000,0.0000000000,0.0000000000,0.0000,0.0986
MF,15,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,20,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,25,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,30,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,35,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,40,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,45,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
MF,50,nan,nan,nan,nan,0.7065,0.0791,0.4365525075,0.0000,0.0000000000,0.0000000000,0.0000,0.1422
