Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0960,0.3373,0.0415,0.2618,0.5448,0.0597,0.4884608878,0.0000,0.0000000000,0.0000000000,0.0000,0.1077
MF,10,0.0460,0.4087,0.0027,0.3855,0.4915,0.0533,0.4908751246,0.0000,0.0000000000,0.0000000000,0.0000,0.0962
MF,15,0.0211,0.5311,0.0007,0.6873,0.4604,0.0500,0.4890051089,0.0000,0.0000000000,0.0000000000,0.0000,0.0902
MF,20,0.0085,0.6843,0.0001,0.9332,0.4620,0.0508,0.4885868607,0.0000,0.0000000000,0.0000000000,0.0000,0.0915
MF,25,0.0042,0.8429,0.0001,0.7826,0.4615,0.0504,0.4871966778,0.0000,0.0000000000,0.0000000000,0.0000,0.0909
MF,30,0.0024,1.0079,0.0001,1.0459,0.4704,0.0519,0.4866918996,0.0000,0.0000000000,0.0000000000,0.0000,0.0935
MF,35,0.0017,1.2097,0.0001,1.5986,0.4521,0.0500,0.4900857152,0.0000,0.0000000000,0.0000000000,0.0000,0.0901
MF,40,0.0014,1.3814,0.0001,1.6135,0.4487,0.0500,0.4907770206,0.0000,0.0000000000,0.0000000000,0.0000,0.0900
MF,45,0.0013,1.5279,0.0001,1.9625,0.4638,0.0518,0.4913329116,0.0000,0.0000000000,0.0000000000,0.0000,0.0932
MF,50,0.0011,1.6738,0.0001,1.8591,0.4641,0.0517,0.4888130703,0.0000,0.0000000000,0.0000000000,0.0000,0.0931
