Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1065,0.2894,0.0052,0.5442,0.6971,0.0778,0.4088768116,0.0000,0.0000000000,0.0000000000,0.0000,0.1401
MF,10,0.0960,0.2805,0.0049,0.5584,0.7301,0.0817,0.4063895598,0.0000,0.0000000000,0.0000000000,0.0000,0.1470
MF,15,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,20,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,25,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,30,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,35,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,40,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,45,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
MF,50,nan,nan,nan,nan,0.7087,0.0793,0.4105676329,0.0000,0.0000000000,0.0000000000,0.0000,0.1427
