Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0941,0.3028,0.0241,0.1509,0.5804,0.0614,0.4439176923,0.0000,0.0000000000,0.0000000000,0.0000,0.1111
MF,10,0.0467,0.3546,0.0027,0.3453,0.5302,0.0557,0.4450376697,0.0000,0.0000000000,0.0000000000,0.0000,0.1008
MF,15,0.0260,0.4479,0.0010,0.3518,0.4712,0.0486,0.4473645618,0.0000,0.0000000000,0.0000000000,0.0000,0.0882
MF,20,0.0158,0.5287,0.0003,0.3002,0.5044,0.0529,0.4459723660,0.0000,0.0000000000,0.0000000000,0.0000,0.0957
MF,25,0.0110,0.6363,0.0004,0.4826,0.4907,0.0517,0.4439002473,0.0000,0.0000000000,0.0000000000,0.0000,0.0936
MF,30,0.0089,0.7690,0.0003,0.8253,0.4699,0.0494,0.4438701978,0.0000,0.0000000000,0.0000000000,0.0000,0.0894
MF,35,0.0077,0.8923,0.0002,0.9267,0.4931,0.0519,0.4471786098,0.0000,0.0000000000,0.0000000000,0.0000,0.0939
MF,40,0.0069,1.0202,0.0003,1.1066,0.4641,0.0488,0.4454258684,0.0000,0.0000000000,0.0000000000,0.0000,0.0883
MF,45,0.0063,1.1303,0.0003,1.2912,0.4614,0.0485,0.4423803773,0.0000,0.0000000000,0.0000000000,0.0000,0.0878
MF,50,0.0056,1.2596,0.0002,1.3182,0.4917,0.0520,0.4437699371,0.0000,0.0000000000,0.0000000000,0.0000,0.0941
