Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2047,0.3133,0.1247,0.3546,0.5800,0.0621,0.4395234117,0.0000,0.0000000000,0.0000000000,0.0000,0.1122
MF,10,0.2004,0.4140,0.0990,0.3535,0.5112,0.0540,0.4381866805,0.0000,0.0000000000,0.0000000000,0.0000,0.0977
MF,15,0.1861,0.5705,0.1178,0.2191,0.5031,0.0527,0.4408883617,0.0000,0.0000000000,0.0000000000,0.0000,0.0954
MF,20,0.1666,0.7198,0.1237,0.2960,0.5178,0.0547,0.4346572157,0.0000,0.0000000000,0.0000000000,0.0000,0.0989
MF,25,0.1514,0.8580,0.1059,0.6937,0.5141,0.0540,0.4347855322,0.0000,0.0000000000,0.0000000000,0.0000,0.0978
MF,30,0.1300,1.0762,0.0503,0.5765,0.4906,0.0512,0.4387954768,0.0000,0.0000000000,0.0000000000,0.0000,0.0928
MF,35,0.1119,1.2501,0.0663,1.0118,0.5293,0.0562,0.4362560770,0.0000,0.0000000000,0.0000000000,0.0000,0.1017
MF,40,0.0952,1.4219,0.0589,1.2617,0.4983,0.0520,0.4368519381,0.0000,0.0000000000,0.0000000000,0.0000,0.0942
MF,45,0.0801,1.6678,0.0379,1.3703,0.4662,0.0487,0.4375671248,0.0000,0.0000000000,0.0000000000,0.0000,0.0882
MF,50,0.0691,1.8121,0.0222,1.9099,0.5015,0.0528,0.4378115559,0.0000,0.0000000000,0.0000000000,0.0000,0.0955
