Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1440,0.2925,0.0228,0.3467,0.5607,0.0590,0.4183501074,0.0000,0.0000000000,0.0000000000,0.0000,0.1068
MF,10,0.1209,0.2902,0.0222,0.1974,0.5145,0.0540,0.4226611744,0.0000,0.0000000000,0.0000000000,0.0000,0.0977
MF,15,0.1116,0.2900,0.0193,0.1873,0.4971,0.0522,0.4260454049,0.0000,0.0000000000,0.0000000000,0.0000,0.0945
MF,20,0.1058,0.3152,0.0103,0.3402,0.4317,0.0443,0.4264619278,0.0000,0.0000000000,0.0000000000,0.0000,0.0804
MF,25,0.1018,0.3378,0.0077,0.4480,0.3895,0.0393,0.4279390959,0.0000,0.0000000000,0.0000000000,0.0000,0.0714
MF,30,0.0991,0.3833,0.0060,1.0358,0.3702,0.0374,0.4291518576,0.0000,0.0000000000,0.0000000000,0.0000,0.0679
MF,35,0.0967,0.4031,0.0061,1.0621,0.3652,0.0369,0.4258610824,0.0000,0.0000000000,0.0000000000,0.0000,0.0670
MF,40,0.0946,0.4632,0.0055,1.3351,0.3381,0.0339,0.4269224465,0.0000,0.0000000000,0.0000000000,0.0000,0.0615
MF,45,0.0925,0.4958,0.0070,1.7928,0.3333,0.0334,0.4266619220,0.0000,0.0000000000,0.0000000000,0.0000,0.0608
MF,50,0.0908,0.5615,0.0071,2.2833,0.3383,0.0341,0.4274794398,0.0000,0.0000000000,0.0000000000,0.0000,0.0620
