Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0410,0.3600,0.0017,0.3501,0.7496,0.0834,0.4301604076,0.0000,0.0000000000,0.0000000000,0.0000,0.1501
MF,10,nan,nan,nan,nan,0.6285,0.0681,0.4228680699,0.0000,0.0000000000,0.0000000000,0.0000,0.1229
MF,15,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,20,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,25,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,30,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,35,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,40,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,45,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
MF,50,nan,nan,nan,nan,0.7116,0.0788,0.4238699103,0.0000,0.0000000000,0.0000000000,0.0000,0.1419
