Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0329,0.4338,0.0005,0.3127,0.7907,0.0880,0.4725725836,0.0000,0.0000000000,0.0000000000,0.0000,0.1584
MF,10,nan,nan,0.0002,0.3566,0.6393,0.0689,0.4642293536,0.0000,0.0000000000,0.0000000000,0.0000,0.1244
MF,15,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,20,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,25,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,30,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,35,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,40,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,45,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
MF,50,nan,nan,nan,nan,0.7196,0.0791,0.4657292386,0.0000,0.0000000000,0.0000000000,0.0000,0.1425
