Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2048,0.3134,0.1858,0.2204,0.5849,0.0627,0.4896327927,0.0000,0.0000000000,0.0000000000,0.0000,0.1132
MF,10,0.1992,0.3988,0.1046,0.7416,0.5314,0.0564,0.4824585155,0.0000,0.0000000000,0.0000000000,0.0000,0.1020
MF,15,0.1860,0.5322,0.0830,0.8477,0.5250,0.0557,0.4837643777,0.0000,0.0000000000,0.0000000000,0.0000,0.1008
MF,20,0.1673,0.6637,0.0785,1.2312,0.5438,0.0583,0.4851185588,0.0000,0.0000000000,0.0000000000,0.0000,0.1053
MF,25,0.1456,0.8134,0.0538,1.6262,0.5288,0.0563,0.4854214113,0.0000,0.0000000000,0.0000000000,0.0000,0.1017
MF,30,0.1300,0.9456,0.0563,2.0766,0.5410,0.0577,0.4841212810,0.0000,0.0000000000,0.0000000000,0.0000,0.1042
MF,35,0.1099,1.0785,0.0502,2.3856,0.5370,0.0569,0.4822188674,0.0000,0.0000000000,0.0000000000,0.0000,0.1029
MF,40,0.0951,1.2637,0.0523,3.2083,0.5454,0.0587,0.4846948087,0.0000,0.0000000000,0.0000000000,0.0000,0.1060
MF,45,0.0799,1.4256,0.0164,3.6401,0.5338,0.0567,0.4864593494,0.0000,0.0000000000,0.0000000000,0.0000,0.1025
MF,50,0.0680,1.5680,0.0253,3.2831,0.5257,0.0561,0.4852260179,0.0000,0.0000000000,0.0000000000,0.0000,0.1013
