Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0977,0.3079,0.0200,0.1991,0.5714,0.0600,0.4421389752,0.0000,0.0000000000,0.0000000000,0.0000,0.1086
MF,10,0.0499,0.3513,0.0055,0.1988,0.5470,0.0574,0.4416139962,0.0000,0.0000000000,0.0000000000,0.0000,0.1039
MF,15,0.0262,0.4277,0.0013,0.2998,0.5146,0.0539,0.4423542098,0.0000,0.0000000000,0.0000000000,0.0000,0.0976
MF,20,0.0161,0.5306,0.0007,0.4371,0.4936,0.0516,0.4412231136,0.0000,0.0000000000,0.0000000000,0.0000,0.0934
MF,25,0.0107,0.6419,0.0006,0.7335,0.4861,0.0504,0.4449206349,0.0000,0.0000000000,0.0000000000,0.0000,0.0914
MF,30,0.0085,0.7809,0.0004,0.6760,0.5032,0.0533,0.4414612089,0.0000,0.0000000000,0.0000000000,0.0000,0.0964
MF,35,0.0072,0.8971,0.0003,1.0523,0.4790,0.0498,0.4415929089,0.0000,0.0000000000,0.0000000000,0.0000,0.0902
MF,40,0.0064,1.0653,0.0004,0.9025,0.4898,0.0522,0.4402580324,0.0000,0.0000000000,0.0000000000,0.0000,0.0943
MF,45,0.0059,1.1443,0.0002,1.2730,0.5006,0.0528,0.4417668795,0.0000,0.0000000000,0.0000000000,0.0000,0.0955
MF,50,0.0054,1.3330,0.0003,1.3260,0.4939,0.0523,0.4403897324,0.0000,0.0000000000,0.0000000000,0.0000,0.0946
