Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2052,0.2978,0.1624,0.3582,0.5435,0.0576,0.4744917472,0.0000,0.0000000000,0.0000000000,0.0000,0.1041
MF,10,0.1966,0.3788,0.2677,0.4663,0.5293,0.0560,0.4756786769,0.0000,0.0000000000,0.0000000000,0.0000,0.1012
MF,15,0.1867,0.5035,0.2217,1.0101,0.5091,0.0536,0.4759589947,0.0000,0.0000000000,0.0000000000,0.0000,0.0970
MF,20,0.1681,0.6363,0.2175,1.3298,0.5088,0.0533,0.4729741776,0.0000,0.0000000000,0.0000000000,0.0000,0.0966
MF,25,0.1510,0.7712,0.1648,1.3750,0.5101,0.0534,0.4759415258,0.0000,0.0000000000,0.0000000000,0.0000,0.0967
MF,30,0.1360,0.9973,0.0735,2.2668,0.5003,0.0521,0.4765202055,0.0000,0.0000000000,0.0000000000,0.0000,0.0944
MF,35,0.1221,1.1136,0.0533,2.2754,0.5068,0.0531,0.4736968024,0.0000,0.0000000000,0.0000000000,0.0000,0.0962
MF,40,0.1087,1.2741,0.0626,2.1874,0.5268,0.0553,0.4765157005,0.0000,0.0000000000,0.0000000000,0.0000,0.1001
MF,45,0.0957,1.4681,0.0352,2.9904,0.4983,0.0518,0.4766195077,0.0000,0.0000000000,0.0000000000,0.0000,0.0939
MF,50,0.0831,1.6457,0.0103,3.6117,0.4923,0.0510,0.4755866115,0.0000,0.0000000000,0.0000000000,0.0000,0.0925
