Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0941,0.3218,0.0203,0.2502,0.5915,0.0626,0.4383972424,0.0000,0.0000000000,0.0000000000,0.0000,0.1133
MF,10,0.0436,0.4091,0.0032,0.5613,0.5621,0.0594,0.4406139531,0.0000,0.0000000000,0.0000000000,0.0000,0.1074
MF,15,0.0196,0.5361,0.0008,0.7934,0.4947,0.0511,0.4401639541,0.0000,0.0000000000,0.0000000000,0.0000,0.0927
MF,20,0.0083,0.7068,0.0004,0.7499,0.4986,0.0519,0.4391497489,0.0000,0.0000000000,0.0000000000,0.0000,0.0940
MF,25,0.0030,0.9061,0.0000,1.1492,0.4940,0.0512,0.4377741115,0.0000,0.0000000000,0.0000000000,0.0000,0.0928
MF,30,0.0011,1.0925,0.0001,1.6486,0.5012,0.0529,0.4398235373,0.0000,0.0000000000,0.0000000000,0.0000,0.0957
MF,35,0.0007,1.2633,0.0000,1.9698,0.4942,0.0513,0.4387915996,0.0000,0.0000000000,0.0000000000,0.0000,0.0930
MF,40,0.0006,1.4323,0.0000,2.4233,0.4809,0.0502,0.4412907848,0.0000,0.0000000000,0.0000000000,0.0000,0.0909
MF,45,0.0005,1.5819,0.0000,3.0660,0.4969,0.0518,0.4391438300,0.0000,0.0000000000,0.0000000000,0.0000,0.0938
MF,50,0.0004,1.7527,0.0000,2.9012,0.4983,0.0521,0.4393666609,0.0000,0.0000000000,0.0000000000,0.0000,0.0943
