Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0977,0.3126,0.0264,0.2074,0.5337,0.0560,0.4010512997,0.0000,0.0000000000,0.0000000000,0.0000,0.1014
MF,10,0.0485,0.3827,0.0070,0.3338,0.5152,0.0543,0.4013349245,0.0000,0.0000000000,0.0000000000,0.0000,0.0982
MF,15,0.0251,0.5041,0.0010,0.4392,0.5012,0.0526,0.4085680738,0.0000,0.0000000000,0.0000000000,0.0000,0.0952
MF,20,0.0155,0.6475,0.0004,0.7695,0.4929,0.0521,0.4085964458,0.0000,0.0000000000,0.0000000000,0.0000,0.0942
MF,25,0.0103,0.7592,0.0005,0.7237,0.4591,0.0476,0.4048044149,0.0000,0.0000000000,0.0000000000,0.0000,0.0863
MF,30,0.0082,0.9374,0.0004,1.2428,0.4536,0.0474,0.4050600989,0.0000,0.0000000000,0.0000000000,0.0000,0.0858
MF,35,0.0073,1.1138,0.0003,1.9204,0.4770,0.0504,0.4065741699,0.0000,0.0000000000,0.0000000000,0.0000,0.0911
MF,40,0.0066,1.2413,0.0003,1.5951,0.4818,0.0510,0.4071048999,0.0000,0.0000000000,0.0000000000,0.0000,0.0922
MF,45,0.0059,1.4635,0.0003,1.9552,0.4529,0.0482,0.4086056476,0.0000,0.0000000000,0.0000000000,0.0000,0.0871
MF,50,0.0055,1.5847,0.0003,2.2147,0.4576,0.0486,0.4059920635,0.0000,0.0000000000,0.0000000000,0.0000,0.0878
