Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0353,0.4286,0.0002,0.3903,0.8128,0.0907,0.4535528334,0.0000,0.0000000000,0.0000000000,0.0000,0.1631
MF,10,nan,nan,nan,nan,0.6151,0.0659,0.4520579087,0.0000,0.0000000000,0.0000000000,0.0000,0.1190
MF,15,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,20,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,25,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,30,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,35,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,40,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,45,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
MF,50,nan,nan,nan,nan,0.7123,0.0785,0.4562284334,0.0000,0.0000000000,0.0000000000,0.0000,0.1414
