Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0401,0.3546,0.0078,0.1777,0.7245,0.0812,0.4578300888,0.0000,0.0000000000,0.0000000000,0.0000,0.1460
MF,10,nan,nan,nan,nan,0.4988,0.0532,0.4550585893,0.0000,0.0000000000,0.0000000000,0.0000,0.0961
MF,15,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,20,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,25,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,30,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,35,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,40,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,45,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
MF,50,nan,nan,nan,nan,0.7145,0.0801,0.4636674718,0.0000,0.0000000000,0.0000000000,0.0000,0.1440
