Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2044,0.3500,0.1769,0.1645,0.5447,0.0587,0.4206599139,0.0000,0.0000000000,0.0000000000,0.0000,0.1060
MF,10,0.2002,0.5271,0.0797,0.4253,0.4912,0.0527,0.4255180776,0.0000,0.0000000000,0.0000000000,0.0000,0.0951
MF,15,0.1860,0.6981,0.1185,0.4996,0.4917,0.0526,0.4270479162,0.0000,0.0000000000,0.0000000000,0.0000,0.0950
MF,20,0.1705,0.8948,0.0870,0.7405,0.4762,0.0508,0.4262912162,0.0000,0.0000000000,0.0000000000,0.0000,0.0917
MF,25,0.1524,1.0973,0.0689,0.8080,0.4841,0.0519,0.4267094404,0.0000,0.0000000000,0.0000000000,0.0000,0.0937
MF,30,0.1309,1.3361,0.1037,1.3955,0.4654,0.0499,0.4252173673,0.0000,0.0000000000,0.0000000000,0.0000,0.0901
MF,35,0.1133,1.5345,0.0444,1.5704,0.4542,0.0483,0.4277466260,0.0000,0.0000000000,0.0000000000,0.0000,0.0874
MF,40,0.0955,1.7114,0.0557,1.5283,0.4551,0.0482,0.4299341260,0.0000,0.0000000000,0.0000000000,0.0000,0.0872
MF,45,0.0839,1.9897,0.0255,1.6237,0.4653,0.0502,0.4245839084,0.0000,0.0000000000,0.0000000000,0.0000,0.0906
MF,50,0.0671,2.1923,0.0230,2.3004,0.4712,0.0509,0.4295110133,0.0000,0.0000000000,0.0000000000,0.0000,0.0919
