Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1440,0.2681,0.0531,0.3362,0.5895,0.0634,0.4903798597,0.0000,0.0000000000,0.0000000000,0.0000,0.1145
MF,10,0.1202,0.2801,0.0390,0.4673,0.4989,0.0531,0.4918048846,0.0000,0.0000000000,0.0000000000,0.0000,0.0960
MF,15,0.1114,0.3038,0.0249,0.8688,0.4452,0.0469,0.4905697416,0.0000,0.0000000000,0.0000000000,0.0000,0.0848
MF,20,0.1052,0.3256,0.0211,0.8832,0.4055,0.0429,0.4920002780,0.0000,0.0000000000,0.0000000000,0.0000,0.0777
MF,25,0.1011,0.3740,0.0166,1.5749,0.3583,0.0374,0.4929845296,0.0000,0.0000000000,0.0000000000,0.0000,0.0677
MF,30,0.0983,0.4009,0.0160,1.7594,0.3298,0.0343,0.4939361916,0.0000,0.0000000000,0.0000000000,0.0000,0.0622
MF,35,0.0960,0.4860,0.0114,2.4782,0.3254,0.0342,0.4931434514,0.0000,0.0000000000,0.0000000000,0.0000,0.0619
MF,40,0.0938,0.5258,0.0109,2.8233,0.3245,0.0342,0.4926028487,0.0000,0.0000000000,0.0000000000,0.0000,0.0619
MF,45,0.0920,0.5876,0.0090,2.9011,0.3231,0.0343,0.4945216049,0.0000,0.0000000000,0.0000000000,0.0000,0.0620
MF,50,0.0906,0.6066,0.0095,2.7401,0.3216,0.0343,0.4930036519,0.0000,0.0000000000,0.0000000000,0.0000,0.0620
