Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2058,0.2812,0.1730,0.4542,0.5121,0.0552,0.4279769813,0.0000,0.0000000000,0.0000000000,0.0000,0.0997
MF,10,0.1976,0.3759,0.1560,0.6279,0.4934,0.0528,0.4306629572,0.0000,0.0000000000,0.0000000000,0.0000,0.0954
MF,15,0.1828,0.4662,0.0949,0.9561,0.4875,0.0526,0.4275025880,0.0000,0.0000000000,0.0000000000,0.0000,0.0949
MF,20,0.1680,0.5794,0.0895,0.9967,0.4875,0.0531,0.4262837397,0.0000,0.0000000000,0.0000000000,0.0000,0.0958
MF,25,0.1526,0.7271,0.1032,1.0917,0.4822,0.0523,0.4237857526,0.0000,0.0000000000,0.0000000000,0.0000,0.0943
MF,30,0.1380,0.8758,0.0390,1.7079,0.4738,0.0517,0.4267823355,0.0000,0.0000000000,0.0000000000,0.0000,0.0933
MF,35,0.1211,1.0034,0.0609,1.5090,0.4971,0.0541,0.4246985948,0.0000,0.0000000000,0.0000000000,0.0000,0.0975
MF,40,0.1069,1.2005,0.0353,2.1033,0.4642,0.0501,0.4268762940,0.0000,0.0000000000,0.0000000000,0.0000,0.0904
MF,45,0.0952,1.2890,0.0317,1.9715,0.4859,0.0536,0.4245697464,0.0000,0.0000000000,0.0000000000,0.0000,0.0965
MF,50,0.0836,1.4540,0.0118,1.9073,0.4477,0.0483,0.4263060013,0.0000,0.0000000000,0.0000000000,0.0000,0.0872
