Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.0944,0.3165,0.0218,0.3873,0.5989,0.0637,0.4321054750,0.0000,0.0000000000,0.0000000000,0.0000,0.1152
MF,10,0.0441,0.3927,0.0050,0.5350,0.5499,0.0580,0.4278930393,0.0000,0.0000000000,0.0000000000,0.0000,0.1049
MF,15,0.0209,0.5072,0.0009,0.7820,0.5471,0.0577,0.4313861571,0.0000,0.0000000000,0.0000000000,0.0000,0.1043
MF,20,0.0082,0.6197,0.0001,0.8990,0.5220,0.0550,0.4285964458,0.0000,0.0000000000,0.0000000000,0.0000,0.0995
MF,25,0.0030,0.7416,0.0000,1.1864,0.5349,0.0568,0.4260236945,0.0000,0.0000000000,0.0000000000,0.0000,0.1027
MF,30,0.0013,0.8945,0.0000,1.2446,0.5012,0.0533,0.4261686220,0.0000,0.0000000000,0.0000000000,0.0000,0.0964
MF,35,0.0007,1.0380,0.0000,1.2918,0.4848,0.0512,0.4261821371,0.0000,0.0000000000,0.0000000000,0.0000,0.0927
MF,40,0.0006,1.2021,0.0000,1.5630,0.5144,0.0550,0.4280984731,0.0000,0.0000000000,0.0000000000,0.0000,0.0994
MF,45,0.0005,1.2774,0.0000,2.2322,0.5149,0.0551,0.4262087359,0.0000,0.0000000000,0.0000000000,0.0000,0.0995
MF,50,0.0004,1.5334,0.0000,2.5139,0.4919,0.0522,0.4293147573,0.0000,0.0000000000,0.0000000000,0.0000,0.0944
